steamID/appID,steamid,appid,playtime_forever,achievements
76561198008911412/24240,76561198008911412,24240,0,0.0
76561198008911412/10,76561198008911412,10,0,
76561198008911412/80,76561198008911412,80,0,
76561198008911412/100,76561198008911412,100,0,
76561198008911412/240,76561198008911412,240,0,0.0
76561198008911412/730,76561198008911412,730,190,0.11976047904191617
76561198008911412/346940,76561198008911412,346940,0,0.0
76561198008911412/202170,76561198008911412,202170,1943,0.711864406779661
76561198008911412/287290,76561198008911412,287290,0,0.0
76561198008911412/351570,76561198008911412,351570,0,
76561198008911412/350080,76561198008911412,350080,912,0.74
76561198008911412/359580,76561198008911412,359580,2,0.0
76561198008911412/359900,76561198008911412,359900,0,0.0
76561198008911412/360430,76561198008911412,360430,2324,0.8727272727272727
76561198008911412/47780,76561198008911412,47780,0,
76561198008911412/365720,76561198008911412,365720,0,
76561198008911412/329050,76561198008911412,329050,0,0.0
76561198008911412/370240,76561198008911412,370240,0,0.0
76561198008911412/385710,76561198008911412,385710,0,0.0
76561198008911412/400170,76561198008911412,400170,0,0.0
76561198008911412/234140,76561198008911412,234140,4119,1.0
76561198008911412/437900,76561198008911412,437900,33,
76561198008911412/440090,76561198008911412,440090,1,
76561198008911412/394230,76561198008911412,394230,0,0.0
76561198008911412/457600,76561198008911412,457600,1722,0.10344827586206896
76561198008911412/50130,76561198008911412,50130,961,0.5522388059701493
76561198008911412/489830,76561198008911412,489830,0,0.0
76561198048730871/17470,76561198048730871,17470,23,
76561198048730871/24740,76561198048730871,24740,0,
76561198048730871/24800,76561198048730871,24800,31,
76561198048730871/23490,76561198048730871,23490,0,
76561198048730871/17410,76561198048730871,17410,691,
76561198048730871/42910,76561198048730871,42910,1981,0.3409090909090909
76561198048730871/72850,76561198048730871,72850,12146,0.5866666666666667
76561198048730871/108800,76561198048730871,108800,0,
76561198048730871/211420,76561198048730871,211420,101,0.0
76561198048730871/57690,76561198048730871,57690,0,0.0
76561198048730871/47790,76561198048730871,47790,0,
76561198048730871/47830,76561198048730871,47830,0,
76561198048730871/58520,76561198048730871,58520,26,
76561198048730871/204560,76561198048730871,204560,0,0.0
76561198048730871/208730,76561198048730871,208730,0,0.0
76561198048730871/209730,76561198048730871,209730,0,0.0
76561198048730871/219780,76561198048730871,219780,0,
76561198048730871/231140,76561198048730871,231140,0,
76561198048730871/58610,76561198048730871,58610,0,0.0
76561198048730871/205650,76561198048730871,205650,0,0.0
76561198048730871/550,76561198048730871,550,0,0.0
76561198048730871/223530,76561198048730871,223530,0,
76561198048730871/224600,76561198048730871,224600,5494,
76561198048730871/245620,76561198048730871,245620,2226,0.24285714285714285
76561198180821795/262060,76561198180821795,262060,248,0.18461538461538463
76561198180821795/244160,76561198180821795,244160,54,0.029411764705882353
76561198180821795/437900,76561198180821795,437900,5,
76561198180821795/310380,76561198180821795,310380,0,0.0
