steamID/appID,steamid,appid,playtime_forever,genres
76561198008911412/221100,2,221100,37,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access', 'Multi-player', 'Steam Cloud', 'Valve Anti-Cheat enabled']"
76561198008911412/7670,2,7670,140,"['Action', 'RPG', 'Single-player', 'Partial Controller Support']"
76561198008911412/8850,2,8850,0,"['Action', 'Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support']"
76561198008911412/8870,2,8870,0,"['Action', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/409710,2,409710,0,"['Action', 'RPG', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Commentary available']"
76561198008911412/409720,2,409720,0,"['Action', 'RPG', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
76561198008911412/272470,2,272470,166,"['Action', 'Adventure', 'Indie', 'RPG', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/239160,2,239160,1844,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/236130,2,236130,0,"['Indie', 'Strategy', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']"
76561198008911412/254700,2,254700,0,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/235210,2,235210,6,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/8880,2,8880,0,"['RPG', 'Strategy', 'Single-player', 'Multi-player']"
76561198008911412/8890,2,8890,0,"['RPG', 'Strategy', 'Single-player', 'Multi-player']"
76561198008911412/287260,2,287260,314,"['Racing', 'Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'VR Support', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/287340,2,287340,1,"['Racing', 'Sports', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/233290,2,233290,565,"['Action', 'Adventure', 'RPG', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
76561198008911412/291710,2,291710,0,"['Adventure', 'Indie', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']"
76561198008911412/201810,2,201810,1494,"['Action', 'Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']"
76561198008911412/295270,2,295270,72712,
76561198008911412/222900,2,222900,507,"['Action', 'Free to Play', 'Early Access', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards']"
76561198008911412/298630,2,298630,175,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/300550,2,300550,1105,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']"
76561198008911412/65790,2,65790,0,"['Action', 'Simulation', 'Strategy', 'Single-player']"
76561198008911412/227940,2,227940,0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'Multi-player', 'Online Multi-Player', 'MMO', 'In-App Purchases']"
76561198008911412/317280,2,317280,0,"['Adventure', 'Indie', 'RPG', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']"
76561198008911412/238010,2,238010,1868,"['Action', 'RPG', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Commentary available']"
76561198008911412/8080,2,8080,145,"['Action', 'Single-player', 'Multi-player', 'Shared/Split Screen', 'Partial Controller Support']"
76561198008911412/28000,2,28000,310,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Leaderboards']"
76561198008911412/321040,2,321040,0,
76561198008911412/226720,2,226720,1321,"['Action', 'Single-player', 'Multi-player', 'Full controller support', 'Steam Trading Cards', 'Captions available']"
76561198008911412/24240,2,24240,0,"['Action', 'Single-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats']"
76561198008911412/10,2,10,0,"['Action', 'Multi-player', 'Valve Anti-Cheat enabled']"
76561198008911412/80,2,80,0,"['Action', 'Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']"
76561198008911412/100,2,100,0,"['Action', 'Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']"
76561198008911412/240,2,240,0,"['Action', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK']"
76561198008911412/730,2,730,190,"['Action', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats']"
76561198008911412/346940,2,346940,0,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']"
76561198008911412/202170,2,202170,1943,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
76561198008911412/287290,2,287290,0,"['Action', 'Adventure', 'Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/351570,2,351570,0,
76561198008911412/350080,2,350080,912,"['Action', 'Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/359580,2,359580,2,"['Action', 'Adventure', 'Indie', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
76561198008911412/359900,2,359900,0,"['Action', 'Adventure', 'Indie', 'RPG', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
