"Tidstämpel","Please enter your Steam Community ID","Please rate the following games [The Elder Scrolls V: Skyrim]","Please rate the following games [Rocket League®]","Please rate the following games [Counter-Strike: Global Offensive]","Please rate the following games [Grand Theft Auto V]","Please rate the following games [RimWorld]","Please rate the following games [Tropico 5]","Please rate the following games [The Witcher® 3: Wild Hunt]","Please rate the following games [Football Manager 2017]","Please rate the following games [Sid Meier’s Civilization® VI]","Please rate the following games [The Sims™ 3]","Please rate the following games [Dota 2]","Please rate the following games [XCOM® 2]","Please rate the following games [Tom Clancy's Rainbow Six® Siege]","Please rate the following games [ARK: Survival Evolved]","Please rate the following games [EVE Online]","Please rate the following games [Orcs Must Die!]","Please rate the following games [DOOM]","Please rate the following games [TowerFall Ascension]","Please rate the following games [Worms Ultimate Mayhem]","Please rate the following games [Portal 2]"
"2017/01/29 10:46:51 em CET","76561198051055859","Liked strongly","Liked","Disliked strongly","Liked slightly","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion"
"2017/01/29 10:56:22 em CET","76561198060876389","Liked strongly","Don't own this game on steam","Liked slightly","Liked","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Liked","Disliked","Don't own this game on steam","Disliked strongly","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/29 11:02:59 em CET","76561198103203983","Haven't played / No opinion","Liked","Liked","Liked","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Disliked","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked strongly"
"2017/01/29 11:11:34 em CET","76561198081661090","Liked strongly","Liked","Liked slightly","Liked","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Liked","Don't own this game on steam","Disliked strongly","Don't own this game on steam","Liked","Disliked strongly","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/29 11:13:05 em CET","57844567967532685","Liked strongly","Don't own this game on steam","Liked strongly","Liked strongly","Liked","Liked strongly","Liked strongly","Liked strongly","Liked slightly","Liked","Disliked strongly","Liked","Liked slightly","Disliked strongly","Disliked strongly","Disliked","Don't own this game on steam","Disliked","Liked","Liked"
"2017/01/29 11:39:47 em CET","76561197992887897","Liked strongly","Liked slightly","Disliked","Liked strongly","Liked slightly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion"
"2017/01/30 12:19:55 fm CET","76561198050762093","Liked strongly","Don't own this game on steam","Liked slightly","Liked","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Liked","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Liked slightly","Don't own this game on steam","Liked slightly","Liked","Don't own this game on steam","Haven't played / No opinion","Liked"
"2017/01/30 2:14:26 fm CET","76561198190834313","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Liked"
"2017/01/30 3:14:04 fm CET","76561198013283991","Liked strongly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked strongly","Liked","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked strongly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked slightly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion"
"2017/01/30 3:21:30 fm CET","76561198208115609","Liked","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked slightly","Don't own this game on steam","Liked strongly"
